cloudtrail_performance_summary_optimized_all_queries
Query_ID,PPL_Query,DSL_Query,PPL_Avg_ms,PPL_Median_ms,PPL_Std_ms,PPL_MAD_ms,PPL_P90_ms,PPL_P95_ms,PPL_P99_ms,PPL_Min_ms,PPL_Max_ms,PPL_Raw_Max_ms,PPL_Outlier_Count,PPL_Success_Rate,DSL_Avg_ms,DSL_Median_ms,DSL_Std_ms,DSL_MAD_ms,DSL_P90_ms,DSL_P95_ms,DSL_P99_ms,DSL_Min_ms,DSL_Max_ms,DSL_Raw_Max_ms,DSL_Outlier_Count,DSL_Success_Rate,Winner,PPL_DSL_Ratio,Statistically_Significant,Performance_Outlier,Outlier_Reason
11,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | where `aws.cloudtrail.eventSource` like ""s3%"" | stats count() as Count by `aws.cloudtrail.requestParameters.bucketName` | sort - Count | head 10","{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.cloudtrail.requestParameters.bucketName.keyword"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.cloudtrail.eventSource""],""query"":""s3*""}}],""minimum_should_match"":1}}],""should"":[],""must_not"":[]}}}",107.79,107.7,5.53,4.34,114.07,115.73,121.61,97.09,123.4,123.4,0,100.0,102.68,101.88,5.53,3.9,109.86,112.02,115.81,92.06,117.02,129.91,1,100.0,DSL,1.06,Yes,No,
12,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | WHERE `aws.cloudtrail.eventSource` like 's3%' and not (`aws.cloudtrail.eventName` like 'Get%' or `aws.cloudtrail.eventName` like 'Describe%' or `aws.cloudtrail.eventName` like 'List%' or `aws.cloudtrail.eventName` like 'Head%') | STATS count() as Count by `aws.cloudtrail.eventName`, `aws.cloudtrail.requestParameters.bucketName` | RENAME `aws.cloudtrail.eventName` as `Event`, `aws.cloudtrail.requestParameters.bucketName` as `Bucket Name` | SORT - Count | HEAD 100","{""track_total_hits"":true,""aggs"":{""multi_field_agg"":{""composite"":{""size"":100,""sources"":[{""eventName"":{""terms"":{""field"":""aws.cloudtrail.eventName"",""missing_bucket"":true}}},{""bucketName"":{""terms"":{""field"":""aws.cloudtrail.requestParameters.bucketName.keyword"",""missing_bucket"":true}}}]}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.cloudtrail.eventSource""],""query"":""s3*""}}],""minimum_should_match"":1}},{""bool"":{""must_not"":{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.cloudtrail.eventName""],""query"":""Get* Describe* List* Head*""}}],""minimum_should_match"":1}}}}],""should"":[],""must_not"":[]}}}",109.4,109.2,4.53,3.34,114.33,117.37,120.05,100.98,121.75,121.75,0,100.0,101.65,99.86,5.82,4.21,109.05,111.15,115.36,91.28,118.29,118.29,0,100.0,DSL,1.09,Yes,No,
13,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | where `aws.cloudtrail.eventSource` like ""ec2%"" and (`aws.cloudtrail.eventName` = ""RunInstances"" or `aws.cloudtrail.eventName` = ""TerminateInstances"" or `aws.cloudtrail.eventName` = ""StopInstances"") and not (`aws.cloudtrail.eventName` like ""Get%"" or `aws.cloudtrail.eventName` like ""Describe%"" or `aws.cloudtrail.eventName` like ""List%"" or `aws.cloudtrail.eventName` like ""Head%"") | stats count() as Count by `aws.cloudtrail.eventName` | sort - Count | head 5","{""size"":0,""query"":{""bool"":{""filter"":[{""wildcard"":{""aws.cloudtrail.eventSource"":""ec2*""}},{""terms"":{""aws.cloudtrail.eventName"":[""RunInstances"",""TerminateInstances"",""StopInstances""]}}]}},""aggs"":{""eventName"":{""terms"":{""field"":""aws.cloudtrail.eventName"",""size"":5,""order"":{""_count"":""desc""}}}}}",108.95,107.13,5.29,2.57,116.62,119.35,121.48,102.53,122.51,130.08,2,100.0,100.17,99.57,4.19,2.37,106.13,106.91,111.42,92.48,114.45,121.02,2,100.0,DSL,1.08,Yes,No,
14,SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | WHERE `aws.cloudtrail.eventSource` = 'ec2*' and not (`aws.cloudtrail.eventName` = 'Get*' or `aws.cloudtrail.eventName` = 'Describe*' or `aws.cloudtrail.eventName` = 'List*' or `aws.cloudtrail.eventName` = 'Head*') | STATS count() as Count by `aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName` | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.cloudtrail.userIdentity.sessionContext.sessionIssuer.userName.keyword"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.cloudtrail.eventSource""],""query"":""ec2*""}}],""minimum_should_match"":1}},{""bool"":{""must_not"":{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.cloudtrail.eventName""],""query"":""Get*  Describe*  List* Head*""}}],""minimum_should_match"":1}}}}],""should"":[],""must_not"":[]}}}",111.65,110.88,5.48,3.21,117.01,123.67,127.65,104.19,129.09,135.58,1,100.0,99.71,98.13,5.59,3.84,105.72,107.8,116.39,91.72,118.74,118.74,0,100.0,DSL,1.13,Yes,No,
15,"SOURCE = flint_new_data_source_default_aws_cloudtrail__001 | where `aws.cloudtrail.eventSource` like ""ec2%"" and not (`aws.cloudtrail.eventName` like ""Get%"" or `aws.cloudtrail.eventName` like ""Describe%"" or `aws.cloudtrail.eventName` like ""List%"" or `aws.cloudtrail.eventName` like ""Head%"") | stats count() as Count by `aws.cloudtrail.eventName` | rename `aws.cloudtrail.eventName` as `Event Name` | sort - Count | head 10","{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.cloudtrail.eventName"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.cloudtrail.eventTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.endTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.requestParameter.startTime"",""format"":""date_time""},{""field"":""aws.cloudtrail.responseElements.lastModified"",""format"":""date_time""},{""field"":""aws.cloudtrail.userIdentity.sessionContext.attributes.creationDate"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.cloudtrail.eventSource""],""query"":""ec2*""}}],""minimum_should_match"":1}},{""bool"":{""must_not"":{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.cloudtrail.eventName""],""query"":""Get*  Describe*  List* Head*""}}],""minimum_should_match"":1}}}}],""should"":[],""must_not"":[]}}}",110.04,109.76,4.74,3.45,115.63,117.71,120.27,100.1,121.43,121.43,0,100.0,100.1,99.11,4.82,3.82,106.63,109.59,110.22,92.17,110.47,110.47,0,100.0,DSL,1.11,Yes,No,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== INTERPRETATION GUIDE ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY METRICS EXPLAINED:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Max_ms,Maximum execution time from CLEANED data (outliers removed) - represents typical worst case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Raw_Max_ms,Maximum execution time from ALL data (including outliers) - represents absolute worst case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Outlier_Count,Number of outlier executions detected (out of 50 total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_DSL_Ratio,Performance ratio - how much slower/faster PPL is vs DSL (1.0 = equal performance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance_Outlier,Yes = Query is an outlier compared to other queries; No = Normal performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlier_Reason,"Why query was flagged - e.g., Slow_vs_DSL, High_Outlier_Rate, Slow_PPL_Absolute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH INDICATORS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Healthy,Needs Attention,Critical,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Outlier_Count,0-2,3-5,>5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw vs Clean Max Difference,<10%,10-25%,>25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_DSL_Ratio,Within normal range for dataset,Approaching threshold,>Dataset threshold (>1.17x for this run),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Success_Rate,≥95%,80-95%,<80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance_Outlier,No,-,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOW TO IDENTIFY PROBLEMATIC QUERIES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Check Performance_Outlier column,Yes = Query needs investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Check PPL_Outlier_Count,>5 outliers = Inconsistent performance (network/cluster issues),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Check PPL_DSL_Ratio,"Check Outlier_Reason for actual threshold (data-driven, was 1.17x for this dataset)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Check PPL_Success_Rate,<95% = Query reliability issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Compare PPL_Raw_Max_ms vs PPL_Max_ms,>25% difference = Large performance spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== PER-QUERY OUTLIER ANALYSIS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This section explains why each query was or was not flagged as an outlier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Three detection criteria are evaluated: PPL/DSL Ratio, Outlier Execution Rate, and Absolute Performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #1,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,103.9ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,99.77ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.04x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.14x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.07x, Q1: 1.04x, Q3: 1.08x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,0/50 (0.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,103.9ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤127.53ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,0.0% (121.41ms vs 121.41ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,113.83ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Variability (MAD),3.94ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERDICT,✓ HEALTHY - Passed all outlier detection criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #2,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,103.02ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,101.51ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.01x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.17x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.07x, Q1: 1.05x, Q3: 1.10x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
