waf_performance_summary_optimized_all_queries
Query_ID,PPL_Query,DSL_Query,PPL_Avg_ms,PPL_Median_ms,PPL_Std_ms,PPL_MAD_ms,PPL_P90_ms,PPL_P95_ms,PPL_P99_ms,PPL_Min_ms,PPL_Max_ms,PPL_Raw_Max_ms,PPL_Outlier_Count,PPL_Success_Rate,DSL_Avg_ms,DSL_Median_ms,DSL_Std_ms,DSL_MAD_ms,DSL_P90_ms,DSL_P95_ms,DSL_P99_ms,DSL_Min_ms,DSL_Max_ms,DSL_Raw_Max_ms,DSL_Outlier_Count,DSL_Success_Rate,Winner,PPL_DSL_Ratio,Statistically_Significant,Performance_Outlier,Outlier_Reason
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== INTERPRETATION GUIDE ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY METRICS EXPLAINED:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Max_ms,Maximum execution time from CLEANED data (outliers removed) - represents typical worst case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Raw_Max_ms,Maximum execution time from ALL data (including outliers) - represents absolute worst case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Outlier_Count,Number of outlier executions detected (out of 50 total),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_DSL_Ratio,Performance ratio - how much slower/faster PPL is vs DSL (1.0 = equal performance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance_Outlier,Yes = Query is an outlier compared to other queries; No = Normal performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outlier_Reason,"Why query was flagged - e.g., Slow_vs_DSL, High_Outlier_Rate, Slow_PPL_Absolute",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH INDICATORS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Healthy,Needs Attention,Critical,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Outlier_Count,0-2,3-5,>5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw vs Clean Max Difference,<10%,10-25%,>25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_DSL_Ratio,Within normal range for dataset,Approaching threshold,>Dataset threshold (>1.13x for this run),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Success_Rate,≥95%,80-95%,<80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance_Outlier,No,-,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOW TO IDENTIFY PROBLEMATIC QUERIES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Check Performance_Outlier column,Yes = Query needs investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Check PPL_Outlier_Count,>5 outliers = Inconsistent performance (network/cluster issues),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Check PPL_DSL_Ratio,"Check Outlier_Reason for actual threshold (data-driven, was 1.13x for this dataset)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Check PPL_Success_Rate,<95% = Query reliability issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Compare PPL_Raw_Max_ms vs PPL_Max_ms,>25% difference = Large performance spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== PER-QUERY OUTLIER ANALYSIS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This section explains why each query was or was not flagged as an outlier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Three detection criteria are evaluated: PPL/DSL Ratio, Outlier Execution Rate, and Absolute Performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #1,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,100.31ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,99.51ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.01x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.11x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.06x, Q1: 1.05x, Q3: 1.07x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,0/50 (0.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,100.31ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤108.88ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,0.0% (120.17ms vs 120.17ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,108.37ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Variability (MAD),4.1ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERDICT,✓ HEALTHY - Passed all outlier detection criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #1,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #2,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,107.86ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,100.49ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.07x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.13x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.06x, Q1: 1.05x, Q3: 1.08x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1/50 (2.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,107.86ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤114.81ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,33.2% (166.41ms vs 124.93ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,117.51ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Variability (MAD),4.3ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERDICT,✓ HEALTHY - Passed all outlier detection criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note,Had 1 outlier executions but within acceptable range (<5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #3,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,109.06ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,103.83ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.05x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.13x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.06x, Q1: 1.05x, Q3: 1.08x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,2/50 (4.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,109.06ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤114.81ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,44.8% (183.45ms vs 126.7ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,115.49ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Variability (MAD),2.8ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERDICT,✓ HEALTHY - Passed all outlier detection criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note,Had 2 outlier executions but within acceptable range (<5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #4,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,110.06ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,100.47ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.10x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.13x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.06x, Q1: 1.05x, Q3: 1.08x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,0/50 (0.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,110.06ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤114.81ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,0.0% (132.45ms vs 132.45ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,127.2ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Variability (MAD),4.28ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERDICT,✓ HEALTHY - Passed all outlier detection criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #5,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,109.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,99.15ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.10x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.13x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.06x, Q1: 1.05x, Q3: 1.08x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,0/50 (0.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,109.5ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤114.81ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,0.0% (119.77ms vs 119.77ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,118.11ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Variability (MAD),4.4ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERDICT,✓ HEALTHY - Passed all outlier detection criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #6,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,105.96ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,99.86ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.06x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.13x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.06x, Q1: 1.05x, Q3: 1.08x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1/50 (2.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,105.96ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤114.81ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,12.2% (136.93ms vs 122.06ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,119.97ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Variability (MAD),3.86ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERDICT,✓ HEALTHY - Passed all outlier detection criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note,Had 1 outlier executions but within acceptable range (<5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #7,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,109.23ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,102.03ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.07x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.07x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.07x, Q1: 1.07x, Q3: 1.07x",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
