vpc_performance_summary_optimized_all_queries
vpc_performance_summary_optimized_all_queries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query_ID,PPL_Query,DSL_Query,PPL_Avg_ms,PPL_Median_ms,PPL_Std_ms,PPL_MAD_ms,PPL_P90_ms,PPL_P95_ms,PPL_P99_ms,PPL_Min_ms,PPL_Max_ms,PPL_Raw_Max_ms,PPL_Outlier_Count,PPL_Success_Rate,DSL_Avg_ms,DSL_Median_ms,DSL_Std_ms,DSL_MAD_ms,DSL_P90_ms,DSL_P95_ms,DSL_P99_ms,DSL_Min_ms,DSL_Max_ms,DSL_Raw_Max_ms,DSL_Outlier_Count,DSL_Success_Rate,Winner,PPL_DSL_Ratio,Performance_Outlier
11,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats sum(`aws.vpc.packets`) as Packets by `aws.vpc.srcaddr` | sort - Packets | head 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.srcaddr"",""order"":{""1"":""desc""},""size"":10},""aggs"":{""1"":{""sum"":{""field"":""aws.vpc.packets""}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",46.83,46.65,4.59,2.77,51.75,53.25,59.86,39.22,63.06,63.06,0,100.0,43.19,42.7,7.1,4.59,49.4,50.85,65.9,34.42,70.34,107.81,7,100.0,DSL,1.09,No
12,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats sum(`aws.vpc.packets`) as Packets by `aws.vpc.dstaddr` | sort - Packets | head 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.dstaddr"",""order"":{""1"":""desc""},""size"":10},""aggs"":{""1"":{""sum"":{""field"":""aws.vpc.packets""}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",45.58,45.17,4.69,3.55,51.5,52.63,58.24,38.08,61.14,67.75,1,100.0,41.5,41.95,4.98,3.27,47.51,51.47,52.92,32.69,53.93,143.27,3,100.0,DSL,1.08,No
13,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | STATS count() as Count by aws.vpc.srcaddr | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.srcaddr"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",45.61,44.47,4.88,3.68,52.73,53.33,56.44,38.35,57.16,77.16,1,100.0,39.65,40.44,4.98,4.17,45.68,46.35,48.53,31.1,49.37,72.81,1,100.0,DSL,1.1,No
14,SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats count() as Requests by `aws.vpc.dstaddr` | sort - Requests | head 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.dstaddr"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",44.2,43.34,4.97,3.39,50.76,52.38,56.59,36.41,57.12,81.36,2,100.0,40.03,39.11,5.74,4.34,48.93,49.34,52.89,31.75,53.67,80.45,1,100.0,DSL,1.11,No
15,"SOURCE = flint_new_data_source_default_amazon_vpc_flow_v1__live_mview | stats count() as Count by aws.vpc.dstaddr, aws.vpc.srcaddr | sort - Count | head 100","{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.vpc.dstaddr"",""order"":{""_count"":""desc""},""size"":10},""aggs"":{""3"":{""terms"":{""field"":""aws.vpc.srcaddr"",""order"":{""_count"":""desc""},""size"":10}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""@timestamp"",""format"":""date_time""},{""field"":""aws.vpc.end"",""format"":""date_time""},{""field"":""aws.vpc.start"",""format"":""date_time""},{""field"":""observedTimestamp"",""format"":""date_time""},{""field"":""observerTime"",""format"":""date_time""}],""_source"":{""excludes"":[]}}",47.62,46.42,7.26,4.54,56.67,60.89,69.16,38.44,69.7,116.81,1,100.0,42.51,41.76,7.12,3.74,49.19,56.9,64.99,33.63,68.25,191.66,7,100.0,DSL,1.11,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== INTERPRETATION GUIDE ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY METRICS EXPLAINED:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Max_ms,Maximum execution time from CLEANED data (outliers removed) - represents typical worst case,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Raw_Max_ms,Maximum execution time from ALL data (including outliers) - represents absolute worst case,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Outlier_Count,Number of outlier executions detected (out of 50 total),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_DSL_Ratio,Performance ratio - how much slower/faster PPL is vs DSL (1.0 = equal performance),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance_Outlier,Yes = Query is an outlier; No = Normal performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEALTH INDICATORS:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,Healthy,Needs Attention,Critical,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Outlier_Count,0-2,3-5,>5,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw vs Clean Max Difference,<10%,10-25%,>25%,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_DSL_Ratio,Within normal range for dataset,Approaching threshold,>Dataset threshold (>1.26x for this run),,,,,,,,,,,,,,,,,,,,,,,,,,
PPL_Success_Rate,≥95%,80-95%,<80%,,,,,,,,,,,,,,,,,,,,,,,,,,
Performance_Outlier,No,-,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOW TO IDENTIFY PROBLEMATIC QUERIES:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Check Performance_Outlier column,Yes = Query needs investigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Check PPL_Outlier_Count,>5 outliers = Inconsistent performance (network/cluster issues),,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Check PPL_DSL_Ratio,"Check Outlier_Reason for actual threshold (data-driven, was 1.26x for this dataset)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Check PPL_Success_Rate,<95% = Query reliability issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Compare PPL_Raw_Max_ms vs PPL_Max_ms,>25% difference = Large performance spikes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=== PER-QUERY OUTLIER ANALYSIS ===,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This section explains why each query was or was not flagged as an outlier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Three detection criteria are evaluated: PPL/DSL Ratio, Outlier Execution Rate, and Absolute Performance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #1,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,38.34ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,37.72ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.02x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.02x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.02x, Q1: 1.02x, Q3: 1.02x",,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1/50 (2.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,38.34ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤38.34ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,11.9% (56.83ms vs 50.79ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,47.75ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Variability (MAD),2.33ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERDICT,✓ HEALTHY - Passed all outlier detection criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note,Had 1 outlier executions but within acceptable range (<5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #2,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,42.01ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,39.3ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.07x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.07x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.07x, Q1: 1.07x, Q3: 1.07x",,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,3/50 (6.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✗ FAIL - Too many inconsistent executions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,42.01ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤42.01ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,142.7% (177.25ms vs 73.04ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,68.8ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Variability (MAD),5.08ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERDICT,✓ HEALTHY - Passed all outlier detection criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note,Had 3 outlier executions but within acceptable range (<5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #3,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,52.31ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,46.88ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.12x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.19x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.05x, Q1: 1.01x, Q3: 1.08x",,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,4/50 (8.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✗ FAIL - Too many inconsistent executions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,52.31ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤58.13ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,1158.4% (1146.18ms vs 91.08ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,83.57ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Variability (MAD),10.24ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VERDICT,✓ HEALTHY - Passed all outlier detection criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note,Had 4 outlier executions but within acceptable range (<5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query #4,✓ Normal Performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL Median,42.13ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSL Median,40.21ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Success Rate,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 1: PPL/DSL Performance Ratio (Data-Driven Threshold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,1.05x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤1.26x (Q3 + 1.5×IQR of all PPL/DSL ratios),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Baseline,"Dataset avg ratio: 1.07x, Q1: 1.01x, Q3: 1.11x",,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 2: Outlier Execution Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,2/50 (4.0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤5% (no more than 5 outlier executions per 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criterion 3: Absolute Performance (vs other queries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Value,42.13ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Threshold,≤54.54ms (Q3 + 1.5×IQR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Status,✓ PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Diagnostics:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Raw vs Clean Max Diff,55.2% (98.3ms vs 63.32ms),,,,,,,,,,,,,,,,,,,,,,,,,,,,
P95 Latency,49.2ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
