nfw_performance_summary_optimized_all_queries
Query_ID,PPL_Query,DSL_Query,PPL_Avg_ms,PPL_Median_ms,PPL_Std_ms,PPL_MAD_ms,PPL_P90_ms,PPL_P95_ms,PPL_P99_ms,PPL_Min_ms,PPL_Max_ms,PPL_Raw_Max_ms,PPL_Outlier_Count,PPL_Success_Rate,DSL_Avg_ms,DSL_Median_ms,DSL_Std_ms,DSL_MAD_ms,DSL_P90_ms,DSL_P95_ms,DSL_P99_ms,DSL_Min_ms,DSL_Max_ms,DSL_Raw_Max_ms,DSL_Outlier_Count,DSL_Success_Rate,Winner,PPL_DSL_Ratio,Statistically_Significant,Performance_Outlier,Outlier_Reason
15,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | where (`aws.networkfirewall.event.tls.sni` like ""s3%"") or (`aws.networkfirewall.event.http.hostname` like ""s3%"") or (`aws.networkfirewall.event.tls.sni` like ""dynamodb%"") or (`aws.networkfirewall.event.http.hostname` like ""dynamodb%"") or (`aws.networkfirewall.event.tls.sni` like ""backup%"") or (`aws.networkfirewall.event.http.hostname` like ""backup%"") | STATS count() as Count by `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip`, `aws.networkfirewall.event.app_proto`, `aws.networkfirewall.event.tls.sni`, `aws.networkfirewall.event.http.hostname` | rename `aws.networkfirewall.event.tls.sni` as SNI, `aws.networkfirewall.event.dest_ip` as Dest_IP , `aws.networkfirewall.event.src_ip` as Source_IP, `aws.networkfirewall.event.http.hostname` as Hostname, `aws.networkfirewall.event.app_proto` as App_Proto | SORT - Count","{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.networkfirewall.event.src_ip"",""order"":{""_count"":""desc""},""size"":10},""aggs"":{""3"":{""terms"":{""field"":""aws.networkfirewall.event.dest_ip"",""order"":{""_count"":""desc""},""size"":5},""aggs"":{""4"":{""terms"":{""field"":""aws.networkfirewall.event.app_proto"",""order"":{""_count"":""desc""},""size"":5},""aggs"":{""5"":{""terms"":{""field"":""aws.networkfirewall.event.tls.sni"",""order"":{""_count"":""desc""},""size"":5},""aggs"":{""6"":{""terms"":{""field"":""aws.networkfirewall.event.http.hostname"",""order"":{""_count"":""desc""},""missing"":""__missing__"",""size"":5}}}}}}}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""aws.networkfirewall.event.netflow.end"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.netflow.start"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.timestamp"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notafter"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notbefore"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""bool"":{""should"":[{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.networkfirewall.event.tls.sni""],""query"":""s3*""}}],""minimum_should_match"":1}},{""bool"":{""should"":[{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.networkfirewall.event.http.hostname""],""query"":""s3*""}}],""minimum_should_match"":1}},{""bool"":{""should"":[{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.networkfirewall.event.tls.sni""],""query"":""dynamodb*""}}],""minimum_should_match"":1}},{""bool"":{""should"":[{""bool"":{""should"":[{""query_string"":{""fields"":[""networkfirewall.event.http.hostname""],""query"":""dynamodb*""}}],""minimum_should_match"":1}},{""bool"":{""should"":[{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.networkfirewall.event.tls.sni""],""query"":""backup*""}}],""minimum_should_match"":1}},{""bool"":{""should"":[{""query_string"":{""fields"":[""aws.networkfirewall.event.http.hostname""],""query"":""backup*""}}],""minimum_should_match"":1}}],""minimum_should_match"":1}}],""minimum_should_match"":1}}],""minimum_should_match"":1}}],""minimum_should_match"":1}}],""minimum_should_match"":1}}],""should"":[],""must_not"":[]}}}",109.63,109.66,5.26,3.65,116.31,119.73,123.72,100.79,126.26,151.49,2,100.0,101.98,100.96,5.92,2.93,109.33,114.97,118.24,91.81,118.95,123.4,2,100.0,DSL,1.09,Yes,No,
16,SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | STATS count() as Count by `aws.networkfirewall.event.proto` | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.networkfirewall.event.proto"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""aws.networkfirewall.event.netflow.end"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.netflow.start"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.timestamp"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notafter"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notbefore"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",107.33,106.86,6.88,4.6,113.11,119.45,128.7,97.49,132.31,367.55,5,100.0,99.5,99.08,4.82,3.6,104.95,107.55,111.96,91.06,114.5,114.5,0,100.0,DSL,1.08,Yes,Yes,High_Outlier_Rate(5/50=10.0%>5%)
17,SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE isnotnull(`aws.networkfirewall.event.app_proto`) | STATS count() as Count by `aws.networkfirewall.event.app_proto` | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.networkfirewall.event.app_proto"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""aws.networkfirewall.event.netflow.end"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.netflow.start"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.timestamp"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notafter"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notbefore"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""exists"":{""field"":""aws.networkfirewall.event.app_proto""}}],""should"":[],""must_not"":[]}}}",104.49,103.92,3.66,2.1,109.33,111.33,113.54,97.79,114.15,114.15,0,100.0,101.33,100.17,4.88,3.11,107.76,110.04,115.76,94.29,115.9,115.9,0,100.0,DSL,1.04,Yes,No,
18,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats count() as Count by SPAN(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.src_port` | eval `Source Port` = CAST(`aws.networkfirewall.event.src_port` AS STRING) | sort - Count | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""ports"":{""terms"":{""field"":""aws.networkfirewall.event.src_port"",""size"":10,""order"":{""total_events"":""desc""}},""aggs"":{""total_events"":{""value_count"":{""field"":""aws.networkfirewall.event.src_port""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""event_count"":{""value_count"":{""field"":""aws.networkfirewall.event.src_port""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",122.82,122.29,3.6,2.47,128.22,129.11,131.32,117.09,132.69,141.77,1,100.0,100.38,98.44,5.1,2.9,107.5,108.51,112.32,93.37,115.02,115.02,0,100.0,DSL,1.24,Yes,No,
19,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | stats count() as Count by SPAN(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.dest_port` | eval `Destination Port` = CAST(`aws.networkfirewall.event.dest_port` AS STRING) | sort - Count | HEAD 10\","{""track_total_hits"":true,""size"":0,""aggs"":{""ports"":{""terms"":{""field"":""aws.networkfirewall.event.dest_port"",""size"":10,""order"":{""total_events"":""desc""}},""aggs"":{""total_events"":{""value_count"":{""field"":""aws.networkfirewall.event.dest_port""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""event_count"":{""value_count"":{""field"":""aws.networkfirewall.event.dest_port""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",122.15,121.28,8.22,4.77,132.55,134.9,149.05,112.0,149.25,165.63,1,100.0,104.5,103.04,5.84,4.36,111.09,112.14,119.55,95.53,125.44,125.44,0,100.0,DSL,1.18,Yes,No,
20,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE `aws.networkfirewall.event.proto` = ""TCP"" | STATS count() as Count by SPAN(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip`, `aws.networkfirewall.event.dest_port` | EVAL `Src IP - Dst IP:Port` = CONCAT(`aws.networkfirewall.event.src_ip`, "" - "", `aws.networkfirewall.event.dest_ip`, "": "", CAST(`aws.networkfirewall.event.dest_port` AS STRING)) | SORT - Count | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""multi_field_agg"":{""composite"":{""size"":10,""sources"":[{""time_bucket"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""}}},{""src_ip"":{""terms"":{""field"":""aws.networkfirewall.event.src_ip""}}},{""dest_ip"":{""terms"":{""field"":""aws.networkfirewall.event.dest_ip""}}},{""dest_port"":{""terms"":{""field"":""aws.networkfirewall.event.dest_port""}}}]}}},""query"":{""bool"":{""filter"":[{""term"":{""aws.networkfirewall.event.proto"":""TCP""}}]}}}",174.25,174.93,5.21,3.85,180.88,181.83,185.57,165.99,186.71,353.42,5,100.0,346.28,269.36,271.54,150.62,808.52,881.92,1040.38,92.76,1157.66,2146.56,3,100.0,PPL,0.65,Yes,Yes,High_Outlier_Rate(5/50=10.0%>5%)
21,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE `aws.networkfirewall.event.proto` = ""TCP"" | STATS sum(aws.networkfirewall.event.netflow.pkts) as Packets by SPAN(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip`, `aws.networkfirewall.event.dest_port` | EVAL `Src IP - Dst IP:Port` = CONCAT(`aws.networkfirewall.event.src_ip`, "" - "", `aws.networkfirewall.event.dest_ip`, "": "", CAST(`aws.networkfirewall.event.dest_port` AS STRING)) | SORT - Packets | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""ip_pairs"":{""multi_terms"":{""terms"":[{""field"":""aws.networkfirewall.event.src_ip""},{""field"":""aws.networkfirewall.event.dest_ip""},{""field"":""aws.networkfirewall.event.dest_port""},{""field"":""aws.networkfirewall.event.proto""}],""size"":10,""order"":{""total_packets"":""desc""}},""aggs"":{""total_packets"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""packet_count"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}},{""term"":{""aws.networkfirewall.event.proto"":""TCP""}}],""should"":[],""must_not"":[]}}}",274.27,262.27,82.73,43.38,408.98,461.45,513.45,182.6,524.97,1864.65,7,100.0,298.27,238.64,174.01,85.02,533.54,590.65,818.36,99.51,819.59,2239.92,4,100.0,PPL,1.1,No,Yes,High_Outlier_Rate(7/50=14.0%>5%);Slow_PPL_Absolute(median:262.3ms>threshold:243.6ms)
22,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE `aws.networkfirewall.event.proto` = ""TCP"" | STATS sum(aws.networkfirewall.event.netflow.bytes) as Bytes by SPAN(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip`, `aws.networkfirewall.event.dest_port` | EVAL `Src IP - Dst IP:Port` = CONCAT(`aws.networkfirewall.event.src_ip`, "" - "", `aws.networkfirewall.event.dest_ip`, "": "", CAST(`aws.networkfirewall.event.dest_port` AS STRING)) | SORT - Bytes | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""ip_pairs"":{""multi_terms"":{""terms"":[{""field"":""aws.networkfirewall.event.src_ip""},{""field"":""aws.networkfirewall.event.dest_ip""},{""field"":""aws.networkfirewall.event.dest_port""},{""field"":""aws.networkfirewall.event.proto""}],""size"":10,""order"":{""total_bytes"":""desc""}},""aggs"":{""total_bytes"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""1d""},""aggs"":{""byte_count"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}},{""term"":{""aws.networkfirewall.event.proto"":""TCP""}}],""should"":[],""must_not"":[]}}}",178.92,177.91,4.12,3.08,184.8,186.11,187.35,172.5,187.49,206.41,1,100.0,100.5,98.99,5.61,3.75,110.26,111.72,113.31,92.58,113.98,113.98,0,100.0,DSL,1.8,Yes,No,
23,SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | STATS count() as Count by `aws.networkfirewall.event.tcp.tcp_flags` | SORT - Count | HEAD 10,"{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.networkfirewall.event.tcp.tcp_flags"",""order"":{""_count"":""desc""},""size"":10}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""aws.networkfirewall.event.netflow.end"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.netflow.start"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.timestamp"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notafter"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notbefore"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",112.17,106.35,13.53,4.05,128.94,147.9,150.03,97.45,150.11,256.79,8,100.0,103.14,102.4,4.98,2.3,108.41,113.24,118.32,93.77,120.75,385.81,9,100.0,DSL,1.04,Yes,Yes,High_Outlier_Rate(8/50=16.0%>5%)
24,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE `aws.networkfirewall.event.proto` = ""UDP"" | STATS count() as Count by SPAN(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip`, `aws.networkfirewall.event.dest_port` | EVAL `Src IP - Dst IP:Port` = CONCAT(`aws.networkfirewall.event.src_ip`, "" - "", `aws.networkfirewall.event.dest_ip`, "": "", CAST(`aws.networkfirewall.event.dest_port` AS STRING)) | SORT - Count | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""ip_pairs"":{""multi_terms"":{""terms"":[{""field"":""aws.networkfirewall.event.src_ip""},{""field"":""aws.networkfirewall.event.dest_ip""},{""field"":""aws.networkfirewall.event.dest_port""},{""field"":""aws.networkfirewall.event.proto""}],""size"":10,""order"":{""_count"":""desc""}},""aggs"":{""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}},{""term"":{""aws.networkfirewall.event.proto"":""UDP""}}],""should"":[],""must_not"":[]}}}",191.79,181.75,21.04,5.5,231.74,234.87,242.39,168.06,245.03,533.54,8,100.0,131.07,115.26,36.68,12.59,200.08,216.37,220.35,97.56,221.62,619.51,7,100.0,DSL,1.58,Yes,Yes,High_Outlier_Rate(8/50=16.0%>5%)
25,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE `aws.networkfirewall.event.proto` = ""UDP"" | STATS sum(`aws.networkfirewall.event.netflow.pkts`) as Packets by SPAN(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip`, `aws.networkfirewall.event.dest_port` | EVAL `Src IP - Dst IP:Port` = CONCAT(`aws.networkfirewall.event.src_ip`, "" - "", `aws.networkfirewall.event.dest_ip`, "": "", CAST(`aws.networkfirewall.event.dest_port` AS STRING)) | SORT - Packets | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""ip_pairs"":{""multi_terms"":{""terms"":[{""field"":""aws.networkfirewall.event.src_ip""},{""field"":""aws.networkfirewall.event.dest_ip""},{""field"":""aws.networkfirewall.event.dest_port""},{""field"":""aws.networkfirewall.event.proto""}],""size"":10,""order"":{""total_packets"":""desc""}},""aggs"":{""total_packets"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""1d""},""aggs"":{""packet_count"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.pkts""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}},{""term"":{""aws.networkfirewall.event.proto"":""UDP""}}],""should"":[],""must_not"":[]}}}",181.82,181.46,4.91,3.36,187.51,189.5,193.92,174.27,196.38,196.38,0,100.0,100.29,99.37,4.48,3.31,106.24,108.13,109.84,93.08,111.21,111.21,0,100.0,DSL,1.83,Yes,No,
26,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE `aws.networkfirewall.event.proto` = ""UDP"" | STATS sum(`aws.networkfirewall.event.netflow.bytes`) as Bytes by SPAN(`aws.networkfirewall.event.timestamp`, 2d), `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip`, `aws.networkfirewall.event.dest_port` | EVAL `Src IP - Dst IP:Port` = CONCAT(`aws.networkfirewall.event.src_ip`, "" - "", `aws.networkfirewall.event.dest_ip`, "": "", CAST(`aws.networkfirewall.event.dest_port` AS STRING)) | SORT - Bytes | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""ip_pairs"":{""multi_terms"":{""terms"":[{""field"":""aws.networkfirewall.event.src_ip""},{""field"":""aws.networkfirewall.event.dest_ip""},{""field"":""aws.networkfirewall.event.dest_port""},{""field"":""aws.networkfirewall.event.proto""}],""size"":10,""order"":{""total_bytes"":""desc""}},""aggs"":{""total_bytes"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}},""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""2d""},""aggs"":{""byte_count"":{""sum"":{""field"":""aws.networkfirewall.event.netflow.bytes""}}}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}},{""term"":{""aws.networkfirewall.event.proto"":""UDP""}}],""should"":[],""must_not"":[]}}}",191.67,185.72,14.55,5.35,216.56,222.48,233.47,176.19,236.8,484.16,7,100.0,115.61,106.54,19.79,7.2,143.7,161.98,167.13,92.94,170.0,491.21,7,100.0,DSL,1.74,Yes,Yes,High_Outlier_Rate(7/50=14.0%>5%)
27,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE `aws.networkfirewall.event.proto` = ""ICMP"" | STATS count() as Count by SPAN(`aws.networkfirewall.event.timestamp`, 1d), `aws.networkfirewall.event.src_ip`, `aws.networkfirewall.event.dest_ip`, `aws.networkfirewall.event.dest_port` | EVAL `Src IP - Dst IP:Port` = CONCAT(`aws.networkfirewall.event.src_ip`, "" - "", `aws.networkfirewall.event.dest_ip`, "": "", CAST(`aws.networkfirewall.event.dest_port` AS STRING)) | SORT - Count | HEAD 10","{""track_total_hits"":true,""size"":0,""aggs"":{""ip_pairs"":{""multi_terms"":{""terms"":[{""field"":""aws.networkfirewall.event.src_ip""},{""field"":""aws.networkfirewall.event.dest_ip""},{""field"":""aws.networkfirewall.event.dest_port""},{""field"":""aws.networkfirewall.event.proto""}],""size"":10,""order"":{""_count"":""desc""}},""aggs"":{""time_series"":{""date_histogram"":{""field"":""aws.networkfirewall.event.timestamp"",""fixed_interval"":""1d""}}}}},""query"":{""bool"":{""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",194.24,183.11,28.94,8.66,230.55,264.45,278.57,169.48,282.48,1869.76,18,100.0,147.79,119.1,59.05,22.32,239.24,248.39,304.76,92.86,312.3,2322.2,11,100.0,DSL,1.54,Yes,Yes,High_Outlier_Rate(18/50=36.0%>5%)
28,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE aws.networkfirewall.event.alert.action= ""blocked"" | STATS count() as Count by `aws.networkfirewall.event.alert.signature_id`, `aws.networkfirewall.event.alert.action`, `aws.networkfirewall.event.alert.signature`, `aws.networkfirewall.event.proto` | RENAME  `aws.networkfirewall.event.alert.signature_id` as SID, `aws.networkfirewall.event.alert.action` as Action, `aws.networkfirewall.event.alert.signature` as Message, `aws.networkfirewall.event.proto` as Proto | SORT - Count | HEAD 10","{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.networkfirewall.event.alert.signature_id"",""order"":{""_count"":""desc""},""size"":10},""aggs"":{""3"":{""terms"":{""field"":""aws.networkfirewall.event.alert.action"",""order"":{""_count"":""desc""},""missing"":""__missing__"",""size"":10},""aggs"":{""4"":{""terms"":{""field"":""aws.networkfirewall.event.alert.signature"",""order"":{""_count"":""desc""},""missing"":""__missing__"",""size"":10},""aggs"":{""5"":{""terms"":{""field"":""aws.networkfirewall.event.proto"",""order"":{""_count"":""desc""},""missing"":""__missing__"",""size"":10}}}}}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""aws.networkfirewall.event.netflow.end"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.netflow.start"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.timestamp"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notafter"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notbefore"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""bool"":{""should"":[{""match"":{""aws.networkfirewall.event.alert.action"":""blocked""}}],""minimum_should_match"":1}}],""should"":[],""must_not"":[]}}}",112.96,111.13,7.3,4.2,123.23,127.06,130.76,101.44,132.03,564.52,3,100.0,106.86,104.2,10.24,6.05,122.89,124.01,134.46,92.96,136.7,431.94,9,100.0,DSL,1.07,Yes,Yes,High_Outlier_Rate(3/50=6.0%>5%)
29,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview| where `aws.networkfirewall.event.alert.action` = ""allowed"" | stats count() as Count by `aws.networkfirewall.event.alert.signature_id`, `aws.networkfirewall.event.alert.action`, `aws.networkfirewall.event.alert.signature`, `aws.networkfirewall.event.proto` | rename `aws.networkfirewall.event.alert.signature_id` as SID, `aws.networkfirewall.event.alert.action` as Action, `aws.networkfirewall.event.alert.signature` as Message, `aws.networkfirewall.event.proto` as Proto | sort - Count | head 10","{""track_total_hits"":true,""aggs"":{""2"":{""terms"":{""field"":""aws.networkfirewall.event.alert.signature_id"",""order"":{""_count"":""desc""},""size"":10},""aggs"":{""3"":{""terms"":{""field"":""aws.networkfirewall.event.alert.action"",""order"":{""_count"":""desc""},""missing"":""__missing__"",""size"":10},""aggs"":{""4"":{""terms"":{""field"":""aws.networkfirewall.event.alert.signature"",""order"":{""_count"":""desc""},""missing"":""__missing__"",""size"":10},""aggs"":{""5"":{""terms"":{""field"":""aws.networkfirewall.event.proto"",""order"":{""_count"":""desc""},""missing"":""__missing__"",""size"":10}}}}}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""aws.networkfirewall.event.netflow.end"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.netflow.start"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.timestamp"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notafter"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notbefore"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}},{""bool"":{""must_not"":{""bool"":{""should"":[{""match"":{""aws.networkfirewall.event.alert.action"":""blocked""}}],""minimum_should_match"":1}}}}],""should"":[],""must_not"":[]}}}",103.84,102.86,3.72,2.17,109.76,110.81,113.3,99.34,114.92,138.09,1,100.0,96.09,95.12,3.21,1.49,100.57,102.01,103.93,90.54,104.05,108.13,2,100.0,DSL,1.08,Yes,No,
30,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE `aws.networkfirewall.event.alert.action` = ""blocked""| STATS COUNT() as Count by `aws.networkfirewall.event.src_ip`| SORT - Count| HEAD 10","{""track_total_hits"":true,""aggs"":{""2"":{""filters"":{""filters"":{""aws.networkfirewall.event.alert.action: blocked"":{""bool"":{""must"":[],""filter"":[{""bool"":{""should"":[{""match"":{""aws.networkfirewall.event.alert.action"":""blocked""}}],""minimum_should_match"":1}}],""should"":[],""must_not"":[]}}}},""aggs"":{""3"":{""terms"":{""field"":""aws.networkfirewall.event.src_ip"",""order"":{""_count"":""desc""},""size"":10}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""aws.networkfirewall.event.netflow.end"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.netflow.start"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.timestamp"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notafter"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notbefore"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",105.36,104.8,5.4,3.89,110.96,115.92,121.4,98.48,125.29,150.7,1,100.0,97.56,96.03,5.54,3.14,105.72,107.93,111.97,90.46,112.21,112.21,0,100.0,DSL,1.09,Yes,No,
31,"SOURCE = flint_new_data_source_default_amazon_networkfirewall__mview | WHERE `aws.networkfirewall.event.alert.action` = ""blocked"" | STATS COUNT() as Count by `aws.networkfirewall.event.dest_ip`| SORT - Count | HEAD 10","{""track_total_hits"":true,""aggs"":{""2"":{""filters"":{""filters"":{""aws.networkfirewall.event.alert.action: blocked"":{""bool"":{""must"":[],""filter"":[{""bool"":{""should"":[{""match"":{""aws.networkfirewall.event.alert.action"":""blocked""}}],""minimum_should_match"":1}}],""should"":[],""must_not"":[]}}}},""aggs"":{""3"":{""terms"":{""field"":""aws.networkfirewall.event.dest_ip"",""order"":{""_count"":""desc""},""size"":10}}}}},""size"":0,""stored_fields"":[""*""],""script_fields"":{},""docvalue_fields"":[{""field"":""aws.networkfirewall.event.netflow.end"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.netflow.start"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.timestamp"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notafter"",""format"":""date_time""},{""field"":""aws.networkfirewall.event.tls.notbefore"",""format"":""date_time""}],""_source"":{""excludes"":[]},""query"":{""bool"":{""must"":[],""filter"":[{""match_all"":{}}],""should"":[],""must_not"":[]}}}",102.93,102.4,3.45,2.1,107.98,109.94,111.01,97.57,111.73,133.69,1,100.0,95.53,94.66,3.56,1.58,101.37,102.24,103.87,89.81,104.45,117.27,2,100.0,DSL,1.08,Yes,No,
